time,Step_Input,Underdamped,Critical,Overdamped
1.69,1,0.208316,0.15176,0.110033
1.7,1,0.213897,0.155226,0.112213
1.71,1,0.219536,0.158707,0.114395
1.72,1,0.225229,0.162202,0.116578
1.73,1,0.230977,0.165711,0.118762
1.74,1,0.236779,0.169233,0.120947
1.75,1,0.242634,0.172768,0.123132
1.76,1,0.248541,0.176315,0.125318
1.77,1,0.2545,0.179873,0.127503
1.78,1,0.260509,0.183441,0.129689
1.79,1,0.266568,0.18702,0.131874
1.8,1,0.272676,0.190609,0.134058
1.81,1,0.278832,0.194206,0.136242
1.82,1,0.285035,0.197812,0.138425
1.83,1,0.291286,0.201427,0.140606
1.84,1,0.297581,0.205048,0.142787
1.85,1,0.303922,0.208677,0.144965
1.86,1,0.310307,0.212312,0.147143
1.87,1,0.316736,0.215953,0.149318
1.88,1,0.323207,0.2196,0.151492
1.89,1,0.329719,0.223251,0.153663
1.9,1,0.336273,0.226908,0.155832
1.91,1,0.342866,0.230568,0.157999
1.92,1,0.349499,0.234232,0.160164
1.93,1,0.356171,0.2379,0.162326
1.94,1,0.36288,0.24157,0.164485
1.95,1,0.369625,0.245243,0.166642
1.96,1,0.376407,0.248917,0.168796
1.97,1,0.383224,0.252594,0.170947
1.98,1,0.390075,0.256271,0.173094
1.99,1,0.39696,0.259949,0.175239
2,1,0.403877,0.263628,0.17738
2.01,1,0.410827,0.267307,0.179518
2.02,1,0.417807,0.270985,0.181653
2.03,1,0.424818,0.274663,0.183784
2.04,1,0.431858,0.27834,0.185911
2.05,1,0.438926,0.282015,0.188035
2.06,1,0.446023,0.285689,0.190155
2.07,1,0.453146,0.289361,0.192272
2.08,1,0.460295,0.29303,0.194385
2.09,1,0.46747,0.296697,0.196493
2.1,1,0.47467,0.30036,0.198598
2.11,1,0.481893,0.304021,0.200699
2.12,1,0.489138,0.307678,0.202796
2.13,1,0.496406,0.311331,0.204889
2.14,1,0.503696,0.31498,0.206977
2.15,1,0.511005,0.318624,0.209062
2.16,1,0.518334,0.322264,0.211142
2.17,1,0.525682,0.325898,0.213218
2.18,1,0.533048,0.329528,0.21529
2.19,1,0.540432,0.333152,0.217358
2.2,1,0.547831,0.33677,0.219421
2.21,1,0.555247,0.340383,0.22148
2.22,1,0.562677,0.343989,0.223534
2.23,1,0.570121,0.347588,0.225584
2.24,1,0.577578,0.351181,0.227629
2.25,1,0.585047,0.354767,0.22967
2.26,1,0.592528,0.358346,0.231707
2.27,1,0.60002,0.361918,0.233739
2.28,1,0.607522,0.365482,0.235766
2.29,1,0.615034,0.369038,0.237789
2.3,1,0.622553,0.372586,0.239807
2.31,1,0.63008,0.376127,0.24182
2.32,1,0.637615,0.379658,0.243829
2.33,1,0.645155,0.383182,0.245834
2.34,1,0.6527,0.386696,0.247833
2.35,1,0.66025,0.390202,0.249828
2.36,1,0.667804,0.393699,0.251818
2.37,1,0.675361,0.397186,0.253804
2.38,1,0.68292,0.400664,0.255785
2.39,1,0.690481,0.404133,0.257761
2.4,1,0.698042,0.407592,0.259732
2.41,1,0.705603,0.411041,0.261699
2.42,1,0.713164,0.41448,0.263661
2.43,1,0.720723,0.417909,0.265618
2.44,1,0.728279,0.421328,0.26757
2.45,1,0.735833,0.424736,0.269518
2.46,1,0.743382,0.428134,0.271461
2.47,1,0.750927,0.431521,0.273399
2.48,1,0.758467,0.434897,0.275333
2.49,1,0.766001,0.438262,0.277261
2.5,1,0.773529,0.441617,0.279185
2.51,1,0.781048,0.44496,0.281104
2.52,1,0.78856,0.448292,0.283018
2.53,1,0.796063,0.451613,0.284928
2.54,1,0.803556,0.454922,0.286832
2.55,1,0.811038,0.458219,0.288732
2.56,1,0.81851,0.461505,0.290628
2.57,1,0.82597,0.464779,0.292518
2.58,1,0.833418,0.468042,0.294404
2.59,1,0.840852,0.471292,0.296284
2.6,1,0.848273,0.474531,0.29816
2.61,1,0.85568,0.477757,0.300032
2.62,1,0.863071,0.480971,0.301898
2.63,1,0.870446,0.484173,0.30376
2.64,1,0.877805,0.487362,0.305617
2.65,1,0.885146,0.49054,0.307469
