time,Setpoint__20C_,Room_Temp,Thermostat
21.7,20,8.85979,1
21.8,20,8.87122,1
21.9,20,8.88254,1
22,20,8.89374,1
22.1,20,8.90483,1
22.2,20,8.91581,1
22.3,20,8.92668,1
22.4,20,8.93744,1
22.5,20,8.94809,1
22.6,20,8.95864,1
22.7,20,8.96908,1
22.8,20,8.97941,1
22.9,20,8.98964,1
23,20,8.99977,1
23.1,20,9.0098,1
23.2,20,9.01973,1
23.3,20,9.02955,1
23.4,20,9.03928,1
23.5,20,9.04892,1
23.6,20,9.05845,1
23.7,20,9.06789,1
23.8,20,9.07723,1
23.9,20,9.08649,1
24,20,9.09564,1
24.1,20,9.10471,1
24.2,20,9.11369,1
24.3,20,9.12257,1
24.4,20,9.13137,1
24.5,20,9.14008,1
24.6,20,9.1487,1
24.7,20,9.15723,1
24.8,20,9.16568,1
24.9,20,9.17405,1
25,20,9.18233,1
25.1,20,9.19052,1
25.2,20,9.19864,1
25.3,20,9.20667,1
25.4,20,9.21463,1
25.5,20,9.2225,1
25.6,20,9.23029,1
25.7,20,9.23801,1
25.8,20,9.24565,1
25.9,20,9.25321,1
26,20,9.2607,1
26.1,20,9.26811,1
26.2,20,9.27545,1
26.3,20,9.28271,1
26.4,20,9.2899,1
26.5,20,9.29702,1
26.6,20,9.30407,1
26.7,20,9.31105,1
26.8,20,9.31795,1
26.9,20,9.32479,1
27,20,9.33156,1
27.1,20,9.33826,1
27.2,20,9.3449,1
27.3,20,9.35146,1
27.4,20,9.35797,1
27.5,20,9.3644,1
27.6,20,9.37077,1
27.7,20,9.37708,1
27.8,20,9.38333,1
27.9,20,9.38951,1
28,20,9.39563,1
28.1,20,9.40169,1
28.2,20,9.40769,1
28.3,20,9.41363,1
28.4,20,9.4195,1
28.5,20,9.42532,1
28.6,20,9.43109,1
28.7,20,9.43679,1
28.8,20,9.44244,1
28.9,20,9.44803,1
29,20,9.45356,1
29.1,20,9.45904,1
29.2,20,9.46446,1
29.3,20,9.46983,1
29.4,20,9.47514,1
29.5,20,9.48041,1
29.6,20,9.48562,1
29.7,20,9.49077,1
29.8,20,9.49588,1
29.9,20,9.50093,1
30,20,9.50593,1
30.1,20,9.51089,1
30.2,20,9.51579,1
30.3,20,9.52065,1
30.4,20,9.52545,1
30.5,20,9.53021,1
30.6,20,9.53492,1
30.7,20,9.53958,1
30.8,20,9.5442,1
30.9,20,9.54877,1
31,20,9.55329,1
31.1,20,9.55777,1
31.2,20,9.5622,1
31.3,20,9.56659,1
31.4,20,9.57094,1
31.5,20,9.57524,1
31.6,20,9.5795,1
31.7,20,9.58371,1
31.8,20,9.58789,1
31.9,20,9.59202,1
32,20,9.59611,1
32.1,20,9.60016,1
32.2,20,9.60417,1
32.3,20,9.60813,1
32.4,20,9.61206,1
32.5,20,9.61595,1
32.6,20,9.6198,1
32.7,20,9.62361,1
32.8,20,9.62739,1
32.9,20,9.63112,1
33,20,9.63482,1
33.1,20,9.63848,1
33.2,20,9.64211,1
33.3,20,9.64569,1
33.4,20,9.64925,1
33.5,20,9.65276,1
33.6,20,9.65624,1
33.7,20,9.65969,1
33.8,20,9.6631,1
33.9,20,9.66648,1
34,20,9.66982,1
34.1,20,9.67313,1
34.2,20,9.67641,1
34.3,20,9.67965,1
34.4,20,9.68287,1
34.5,20,9.68604,1
34.6,20,9.68919,1
34.7,20,9.69231,1
34.8,20,9.69539,1
