time,Time_Domain,Frequency_Spectrum
0.909,0.00622542,0.00622542
0.91,0.0419826,0.0419826
0.911,0.0877853,0.0877853
0.912,0.14358,0.14358
0.913,0.209019,0.209019
0.914,0.283465,0.283465
0.915,0.366005,0.366005
0.916,0.455464,0.455464
0.917,0.550435,0.550435
0.918,0.649311,0.649311
0.919,0.750319,0.750319
0.92,0.851559,0.851559
0.921,0.951057,0.951057
0.922,1.0468,1.0468
0.923,1.1368,1.1368
0.924,1.21911,1.21911
0.925,1.29192,1.29192
0.926,1.35355,1.35355
0.927,1.40254,1.40254
0.928,1.43762,1.43762
0.929,1.45782,1.45782
0.93,1.46243,1.46243
0.931,1.45106,1.45106
0.932,1.42362,1.42362
0.933,1.38036,1.38036
0.934,1.32181,1.32181
0.935,1.24884,1.24884
0.936,1.16257,1.16257
0.937,1.06441,1.06441
0.938,0.955964,0.955964
0.939,0.839056,0.839056
0.94,0.715641,0.715641
0.941,0.587785,0.587785
0.942,0.45761,0.45761
0.943,0.327245,0.327245
0.944,0.198784,0.198784
0.945,0.0742319,0.0742319
0.946,-0.0445364,-0.0445364
0.947,-0.155819,-0.155819
0.948,-0.258122,-0.258122
0.949,-0.350195,-0.350195
0.95,-0.431054,-0.431054
0.951,-0.5,-0.5
0.952,-0.556635,-0.556635
0.953,-0.600861,-0.600861
0.954,-0.632885,-0.632885
0.955,-0.653198,-0.653198
0.956,-0.66257,-0.66257
0.957,-0.662017,-0.662017
0.958,-0.652775,-0.652775
0.959,-0.636262,-0.636262
0.96,-0.614044,-0.614044
0.961,-0.587785,-0.587785
0.962,-0.559207,-0.559207
0.963,-0.530039,-0.530039
0.964,-0.501973,-0.501973
0.965,-0.476621,-0.476621
0.966,-0.455464,-0.455464
0.967,-0.439819,-0.439819
0.968,-0.430803,-0.430803
0.969,-0.429299,-0.429299
0.97,-0.435932,-0.435932
0.971,-0.451057,-0.451057
0.972,-0.474739,-0.474739
0.973,-0.506759,-0.506759
0.974,-0.546611,-0.546611
0.975,-0.593518,-0.593518
0.976,-0.646447,-0.646447
0.977,-0.704134,-0.704134
0.978,-0.765119,-0.765119
0.979,-0.827779,-0.827779
0.98,-0.890366,-0.890366
0.981,-0.951057,-0.951057
0.982,-1.00799,-1.00799
0.983,-1.05934,-1.05934
0.984,-1.1033,-1.1033
0.985,-1.13822,-1.13822
0.986,-1.16257,-1.16257
0.987,-1.17502,-1.17502
0.988,-1.17447,-1.17447
0.989,-1.16008,-1.16008
0.99,-1.13127,-1.13127
0.991,-1.08779,-1.08779
0.992,-1.02967,-1.02967
0.993,-0.957282,-0.957282
0.994,-0.871283,-0.871283
0.995,-0.772633,-0.772633
0.996,-0.66257,-0.66257
0.997,-0.542583,-0.542583
0.998,-0.414377,-0.414377
0.999,-0.279842,-0.279842
