time,Time_Domain,Frequency_Spectrum
0.21,1.02967,1.02967
0.211,1.08779,1.08779
0.212,1.13127,1.13127
0.213,1.16008,1.16008
0.214,1.17447,1.17447
0.215,1.17502,1.17502
0.216,1.16257,1.16257
0.217,1.13822,1.13822
0.218,1.1033,1.1033
0.219,1.05934,1.05934
0.22,1.00799,1.00799
0.221,0.951057,0.951057
0.222,0.890366,0.890366
0.223,0.827779,0.827779
0.224,0.765119,0.765119
0.225,0.704134,0.704134
0.226,0.646447,0.646447
0.227,0.593518,0.593518
0.228,0.546611,0.546611
0.229,0.506759,0.506759
0.23,0.474739,0.474739
0.231,0.451057,0.451057
0.232,0.435932,0.435932
0.233,0.429299,0.429299
0.234,0.430803,0.430803
0.235,0.439819,0.439819
0.236,0.455464,0.455464
0.237,0.476621,0.476621
0.238,0.501973,0.501973
0.239,0.530039,0.530039
0.24,0.559207,0.559207
0.241,0.587785,0.587785
0.242,0.614044,0.614044
0.243,0.636262,0.636262
0.244,0.652775,0.652775
0.245,0.662017,0.662017
0.246,0.66257,0.66257
0.247,0.653198,0.653198
0.248,0.632885,0.632885
0.249,0.600861,0.600861
0.25,0.556635,0.556635
0.251,0.5,0.5
0.252,0.431054,0.431054
0.253,0.350195,0.350195
0.254,0.258122,0.258122
0.255,0.155819,0.155819
0.256,0.0445364,0.0445364
0.257,-0.0742319,-0.0742319
0.258,-0.198784,-0.198784
0.259,-0.327245,-0.327245
0.26,-0.45761,-0.45761
0.261,-0.587785,-0.587785
0.262,-0.715641,-0.715641
0.263,-0.839056,-0.839056
0.264,-0.955964,-0.955964
0.265,-1.06441,-1.06441
0.266,-1.16257,-1.16257
0.267,-1.24884,-1.24884
0.268,-1.32181,-1.32181
0.269,-1.38036,-1.38036
0.27,-1.42362,-1.42362
0.271,-1.45106,-1.45106
0.272,-1.46243,-1.46243
0.273,-1.45782,-1.45782
0.274,-1.43762,-1.43762
0.275,-1.40254,-1.40254
0.276,-1.35355,-1.35355
0.277,-1.29192,-1.29192
0.278,-1.21911,-1.21911
0.279,-1.1368,-1.1368
0.28,-1.0468,-1.0468
0.281,-0.951057,-0.951057
0.282,-0.851559,-0.851559
0.283,-0.750319,-0.750319
0.284,-0.649311,-0.649311
0.285,-0.550435,-0.550435
0.286,-0.455464,-0.455464
0.287,-0.366005,-0.366005
0.288,-0.283465,-0.283465
0.289,-0.209019,-0.209019
0.29,-0.14358,-0.14358
0.291,-0.0877853,-0.0877853
0.292,-0.0419826,-0.0419826
0.293,-0.00622542,-0.00622542
0.294,0.019724,0.019724
0.295,0.0363839,0.0363839
0.296,0.0445364,0.0445364
0.297,0.0452027,0.0452027
0.298,0.0396139,0.0396139
0.299,0.0291753,0.0291753
0.3,0.0154267,0.0154267
0.301,-1.59266e-15,-1.59266e-15
0.302,-0.0154267,-0.0154267
0.303,-0.0291753,-0.0291753
0.304,-0.0396139,-0.0396139
0.305,-0.0452027,-0.0452027
0.306,-0.0445364,-0.0445364
0.307,-0.0363839,-0.0363839
0.308,-0.019724,-0.019724
0.309,0.00622542,0.00622542
0.31,0.0419826,0.0419826
0.311,0.0877853,0.0877853
0.312,0.14358,0.14358
0.313,0.209019,0.209019
0.314,0.283465,0.283465
0.315,0.366005,0.366005
0.316,0.455464,0.455464
0.317,0.550435,0.550435
0.318,0.649311,0.649311
0.319,0.750319,0.750319
0.32,0.851559,0.851559
0.321,0.951057,0.951057
