time,Speed_Setpoint,DC_Motor,Control_Signal,Error
1.81,1,0.997884,1,0.12396
1.82,1,0.998106,1,0.123726
1.83,1,0.998333,1,0.123489
1.84,1,0.998563,1,0.123249
1.85,1,0.998796,1,0.123006
1.86,1,0.999031,1,0.122762
1.87,1,0.999268,1,0.122516
1.88,1,0.999507,1,0.122268
1.89,1,0.999747,1,0.12202
1.9,1,0.999989,1,0.12177
1.91,1,1.00023,1,0.12152
1.92,1,1.00047,1,0.12127
1.93,1,1.00072,1,0.121019
1.94,1,1.00096,1,0.120769
1.95,1,1.0012,1,0.120518
1.96,1,1.00145,1,0.120268
1.97,1,1.00169,1,0.120018
1.98,1,1.00193,1,0.119768
1.99,1,1.00217,1,0.119519
2,1,1.00241,1,0.11927
2.01,1,1.00266,1,0.119022
2.02,1,1.0029,1,0.118775
2.03,1,1.00314,1,0.118529
2.04,1,1.00338,1,0.118283
2.05,1,1.00361,1,0.118038
2.06,1,1.00385,1,0.117794
2.07,1,1.00409,1,0.117551
2.08,1,1.00432,1,0.117309
2.09,1,1.00456,1,0.117067
2.1,1,1.00479,1,0.116827
2.11,1,1.00503,1,0.116588
2.12,1,1.00526,1,0.116349
2.13,1,1.00549,1,0.116112
2.14,1,1.00572,1,0.115876
2.15,1,1.00595,1,0.11564
2.16,1,1.00618,1,0.115406
2.17,1,1.00641,1,0.115173
2.18,1,1.00663,1,0.114941
2.19,1,1.00686,1,0.11471
2.2,1,1.00708,1,0.114479
2.21,1,1.00731,1,0.11425
2.22,1,1.00753,1,0.114022
2.23,1,1.00775,1,0.113795
2.24,1,1.00797,1,0.113569
2.25,1,1.00819,1,0.113344
2.26,1,1.00841,1,0.11312
2.27,1,1.00862,1,0.112898
2.28,1,1.00884,1,0.112676
2.29,1,1.00906,1,0.112455
2.3,1,1.00927,1,0.112235
2.31,1,1.00948,1,0.112017
2.32,1,1.00969,1,0.111799
2.33,1,1.00991,1,0.111582
2.34,1,1.01012,1,0.111367
2.35,1,1.01033,1,0.111152
2.36,1,1.01053,1,0.110939
2.37,1,1.01074,1,0.110726
2.38,1,1.01095,1,0.110514
2.39,1,1.01115,1,0.110304
2.4,1,1.01136,1,0.110094
2.41,1,1.01156,1,0.109886
2.42,1,1.01176,1,0.109678
2.43,1,1.01196,1,0.109472
2.44,1,1.01216,1,0.109266
2.45,1,1.01236,1,0.109061
2.46,1,1.01256,1,0.108858
2.47,1,1.01276,1,0.108655
2.48,1,1.01296,1,0.108453
2.49,1,1.01315,1,0.108253
2.5,1,1.01335,1,0.108053
2.51,1,1.01354,1,0.107854
2.52,1,1.01373,1,0.107656
2.53,1,1.01393,1,0.107459
