time,Velocity,Position
1.485,-0.0633992,0.0098975
1.486,-0.0632652,0.00983414
1.487,-0.0631251,0.00977091
1.488,-0.062979,0.00970782
1.489,-0.0628268,0.00964488
1.49,-0.0626686,0.0095821
1.491,-0.0625045,0.00951947
1.492,-0.0623344,0.00945701
1.493,-0.0621584,0.00939472
1.494,-0.0619764,0.00933261
1.495,-0.0617887,0.00927068
1.496,-0.0615951,0.00920894
1.497,-0.0613956,0.0091474
1.498,-0.0611905,0.00908605
1.499,-0.0609795,0.00902492
1.5,-0.0607629,0.00896399
1.501,-0.0605406,0.00890329
1.502,-0.0603127,0.0088428
1.503,-0.0600791,0.00878255
1.504,-0.05984,0.00872253
1.505,-0.0595953,0.00866275
1.506,-0.0593451,0.00860322
1.507,-0.0590895,0.00854394
1.508,-0.0588284,0.00848492
1.509,-0.0585619,0.00842616
1.51,-0.0582901,0.00836766
1.511,-0.0580129,0.00830944
1.512,-0.0577304,0.0082515
1.513,-0.0574427,0.00819384
1.514,-0.0571498,0.00813648
1.515,-0.0568517,0.0080794
1.516,-0.0565485,0.00802263
1.517,-0.0562402,0.00796616
1.518,-0.0559268,0.00790999
1.519,-0.0556085,0.00785415
1.52,-0.0552851,0.00779862
1.521,-0.0549569,0.00774342
1.522,-0.0546237,0.00768855
1.523,-0.0542857,0.00763401
1.524,-0.0539429,0.00757981
1.525,-0.0535954,0.00752595
1.526,-0.0532431,0.00747245
1.527,-0.0528862,0.00741929
1.528,-0.0525246,0.0073665
1.529,-0.0521585,0.00731407
1.53,-0.0517878,0.007262
1.531,-0.0514127,0.00721031
1.532,-0.0510331,0.00715899
1.533,-0.0506491,0.00710805
1.534,-0.0502608,0.0070575
1.535,-0.0498681,0.00700734
1.536,-0.0494712,0.00695757
1.537,-0.0490701,0.0069082
1.538,-0.0486649,0.00685924
1.539,-0.0482555,0.00681067
1.54,-0.047842,0.00676252
1.541,-0.0474246,0.00671479
1.542,-0.0470032,0.00666747
1.543,-0.0465778,0.00662057
1.544,-0.0461487,0.0065741
1.545,-0.0457156,0.00652806
1.546,-0.0452789,0.00648245
1.547,-0.0448384,0.00643729
1.548,-0.0443943,0.00639256
1.549,-0.0439465,0.00634828
