time,Reference,Plant
3.18,1,0.981347
3.19,1,0.981262
3.2,1,0.981195
3.21,1,0.981147
3.22,1,0.981115
3.23,1,0.9811
3.24,1,0.981101
3.25,1,0.981118
3.26,1,0.98115
3.27,1,0.981196
3.28,1,0.981256
3.29,1,0.98133
3.3,1,0.981416
3.31,1,0.981515
3.32,1,0.981626
3.33,1,0.981748
3.34,1,0.981881
3.35,1,0.982025
3.36,1,0.982178
3.37,1,0.982341
3.38,1,0.982513
3.39,1,0.982693
3.4,1,0.982881
3.41,1,0.983077
3.42,1,0.98328
3.43,1,0.98349
3.44,1,0.983706
3.45,1,0.983928
3.46,1,0.984156
3.47,1,0.984389
3.48,1,0.984626
3.49,1,0.984868
3.5,1,0.985114
3.51,1,0.985363
3.52,1,0.985616
3.53,1,0.985872
3.54,1,0.98613
3.55,1,0.986391
3.56,1,0.986654
3.57,1,0.986918
3.58,1,0.987184
3.59,1,0.987451
3.6,1,0.987719
3.61,1,0.987987
3.62,1,0.988256
3.63,1,0.988524
3.64,1,0.988793
3.65,1,0.989061
3.66,1,0.989328
3.67,1,0.989595
3.68,1,0.98986
3.69,1,0.990125
3.7,1,0.990387
3.71,1,0.990648
3.72,1,0.990908
3.73,1,0.991165
3.74,1,0.99142
3.75,1,0.991673
3.76,1,0.991923
3.77,1,0.992171
3.78,1,0.992416
3.79,1,0.992658
3.8,1,0.992898
3.81,1,0.993134
3.82,1,0.993367
3.83,1,0.993596
3.84,1,0.993823
3.85,1,0.994046
3.86,1,0.994265
3.87,1,0.99448
3.88,1,0.994692
3.89,1,0.994901
3.9,1,0.995105
3.91,1,0.995306
3.92,1,0.995502
3.93,1,0.995695
3.94,1,0.995884
3.95,1,0.996069
3.96,1,0.996249
3.97,1,0.996426
3.98,1,0.996599
3.99,1,0.996767
4,1,0.996932
4.01,1,0.997092
4.02,1,0.997248
4.03,1,0.997401
4.04,1,0.997549
4.05,1,0.997693
4.06,1,0.997833
4.07,1,0.997969
4.08,1,0.998101
4.09,1,0.998228
4.1,1,0.998352
4.11,1,0.998472
4.12,1,0.998588
4.13,1,0.998701
4.14,1,0.998809
4.15,1,0.998914
4.16,1,0.999014
4.17,1,0.999111
4.18,1,0.999205
4.19,1,0.999295
4.2,1,0.999381
4.21,1,0.999464
4.22,1,0.999543
4.23,1,0.999619
4.24,1,0.999691
4.25,1,0.99976
4.26,1,0.999826
4.27,1,0.999888
4.28,1,0.999948
4.29,1,1
4.3,1,1.00006
4.31,1,1.00011
4.32,1,1.00016
4.33,1,1.0002
4.34,1,1.00024
4.35,1,1.00028
4.36,1,1.00032
4.37,1,1.00035
4.38,1,1.00038
4.39,1,1.00041
4.4,1,1.00044
4.41,1,1.00046
4.42,1,1.00049
4.43,1,1.0005
4.44,1,1.00052
4.45,1,1.00054
4.46,1,1.00055
4.47,1,1.00056
4.48,1,1.00057
4.49,1,1.00058
4.5,1,1.00059
4.51,1,1.00059
4.52,1,1.00059
4.53,1,1.00059
4.54,1,1.00059
4.55,1,1.00059
4.56,1,1.00059
4.57,1,1.00058
4.58,1,1.00058
4.59,1,1.00057
4.6,1,1.00056
4.61,1,1.00055
4.62,1,1.00054
4.63,1,1.00053
4.64,1,1.00052
4.65,1,1.00051
4.66,1,1.00049
4.67,1,1.00048
4.68,1,1.00046
4.69,1,1.00044
4.7,1,1.00043
4.71,1,1.00041
4.72,1,1.00039
4.73,1,1.00037
4.74,1,1.00035
4.75,1,1.00033
4.76,1,1.00031
4.77,1,1.00029
4.78,1,1.00027
4.79,1,1.00024
4.8,1,1.00022
4.81,1,1.0002
4.82,1,1.00018
4.83,1,1.00015
4.84,1,1.00013
4.85,1,1.00011
4.86,1,1.00009
4.87,1,1.00006
4.88,1,1.00004
4.89,1,1.00002
4.9,1,0.999993
4.91,1,0.99997
4.92,1,0.999947
4.93,1,0.999924
4.94,1,0.999901
4.95,1,0.999878
4.96,1,0.999856
4.97,1,0.999833
4.98,1,0.999811
4.99,1,0.999789
5,1,0.999767
5.01,1,0.999746
5.02,1,0.999724
5.03,1,0.999703
5.04,1,0.999682
5.05,1,0.999662
5.06,1,0.999642
5.07,1,0.999622
5.08,1,0.999603
5.09,1,0.999584
5.1,1,0.999565
5.11,1,0.999546
5.12,1,0.999528
5.13,1,0.999511
5.14,1,0.999494
5.15,1,0.999477
5.16,1,0.99946
5.17,1,0.999444
5.18,1,0.999428
5.19,1,0.999413
5.2,1,0.999398
5.21,1,0.999384
5.22,1,0.99937
5.23,1,0.999357
5.24,1,0.999343
5.25,1,0.999331
5.26,1,0.999318
5.27,1,0.999307
5.28,1,0.999295
5.29,1,0.999284
5.3,1,0.999274
5.31,1,0.999263
5.32,1,0.999254
5.33,1,0.999244
5.34,1,0.999236
5.35,1,0.999227
5.36,1,0.999219
5.37,1,0.999211
5.38,1,0.999204
5.39,1,0.999197
5.4,1,0.999191
5.41,1,0.999185
5.42,1,0.999179
5.43,1,0.999174
5.44,1,0.999169
5.45,1,0.999164
5.46,1,0.99916
5.47,1,0.999156
5.48,1,0.999153
5.49,1,0.99915
5.5,1,0.999147
5.51,1,0.999144
5.52,1,0.999142
5.53,1,0.999141
5.54,1,0.999139
5.55,1,0.999138
5.56,1,0.999137
5.57,1,0.999136
5.58,1,0.999136
5.59,1,0.999136
5.6,1,0.999136
5.61,1,0.999137
5.62,1,0.999138
5.63,1,0.999139
5.64,1,0.99914
5.65,1,0.999142
5.66,1,0.999144
5.67,1,0.999146
5.68,1,0.999148
5.69,1,0.99915
5.7,1,0.999153
5.71,1,0.999156
5.72,1,0.999159
5.73,1,0.999162
5.74,1,0.999165
5.75,1,0.999169
5.76,1,0.999173
5.77,1,0.999177
5.78,1,0.999181
5.79,1,0.999185
5.8,1,0.999189
5.81,1,0.999194
5.82,1,0.999198
5.83,1,0.999203
5.84,1,0.999208
5.85,1,0.999213
5.86,1,0.999218
5.87,1,0.999223
5.88,1,0.999228
5.89,1,0.999234
5.9,1,0.999239
5.91,1,0.999245
5.92,1,0.99925
5.93,1,0.999256
5.94,1,0.999262
5.95,1,0.999267
5.96,1,0.999273
5.97,1,0.999279
5.98,1,0.999285
5.99,1,0.999291
6,1,0.999297
6.01,1,0.999303
6.02,1,0.999309
6.03,1,0.999315
6.04,1,0.999321
6.05,1,0.999327
6.06,1,0.999333
6.07,1,0.999339
6.08,1,0.999345
6.09,1,0.999351
6.1,1,0.999357
6.11,1,0.999363
6.12,1,0.999369
6.13,1,0.999375
6.14,1,0.999381
6.15,1,0.999387
6.16,1,0.999393
6.17,1,0.999399
6.18,1,0.999405
6.19,1,0.999411
6.2,1,0.999417
6.21,1,0.999422
6.22,1,0.999428
6.23,1,0.999434
6.24,1,0.99944
6.25,1,0.999445
6.26,1,0.999451
6.27,1,0.999456
6.28,1,0.999462
6.29,1,0.999467
6.3,1,0.999473
6.31,1,0.999478
6.32,1,0.999483
6.33,1,0.999489
6.34,1,0.999494
6.35,1,0.999499
6.36,1,0.999504
6.37,1,0.999509
6.38,1,0.999514
6.39,1,0.999519
6.4,1,0.999524
6.41,1,0.999528
6.42,1,0.999533
6.43,1,0.999538
6.44,1,0.999542
6.45,1,0.999547
6.46,1,0.999551
6.47,1,0.999556
6.48,1,0.99956
6.49,1,0.999564
6.5,1,0.999568
6.51,1,0.999572
6.52,1,0.999577
6.53,1,0.999581
6.54,1,0.999585
6.55,1,0.999588
6.56,1,0.999592
6.57,1,0.999596
6.58,1,0.9996
6.59,1,0.999603
6.6,1,0.999607
6.61,1,0.99961
6.62,1,0.999614
6.63,1,0.999617
6.64,1,0.999621
6.65,1,0.999624
6.66,1,0.999627
6.67,1,0.99963
6.68,1,0.999633
6.69,1,0.999636
6.7,1,0.999639
6.71,1,0.999642
6.72,1,0.999645
6.73,1,0.999648
6.74,1,0.999651
6.75,1,0.999654
6.76,1,0.999656
6.77,1,0.999659
6.78,1,0.999662
6.79,1,0.999664
6.8,1,0.999667
6.81,1,0.999669
6.82,1,0.999671
6.83,1,0.999674
6.84,1,0.999676
6.85,1,0.999678
6.86,1,0.999681
6.87,1,0.999683
6.88,1,0.999685
6.89,1,0.999687
6.9,1,0.999689
6.91,1,0.999691
6.92,1,0.999693
6.93,1,0.999695
6.94,1,0.999697
6.95,1,0.999699
6.96,1,0.999701
6.97,1,0.999702
6.98,1,0.999704
6.99,1,0.999706
7,1,0.999708
7.01,1,0.999709
7.02,1,0.999711
7.03,1,0.999713
7.04,1,0.999714
7.05,1,0.999716
7.06,1,0.999717
7.07,1,0.999719
7.08,1,0.99972
7.09,1,0.999722
7.1,1,0.999723
7.11,1,0.999725
7.12,1,0.999726
7.13,1,0.999728
7.14,1,0.999729
7.15,1,0.99973
7.16,1,0.999732
7.17,1,0.999733
7.18,1,0.999734
7.19,1,0.999735
7.2,1,0.999737
7.21,1,0.999738
7.22,1,0.999739
7.23,1,0.99974
7.24,1,0.999742
7.25,1,0.999743
7.26,1,0.999744
