time,Step_Input,_1__s_1_
3.16,1,0.884483
3.17,1,0.885632
3.18,1,0.88677
3.19,1,0.887897
3.2,1,0.889012
3.21,1,0.890117
3.22,1,0.89121
3.23,1,0.892292
3.24,1,0.893364
3.25,1,0.894425
3.26,1,0.895476
3.27,1,0.896516
3.28,1,0.897545
3.29,1,0.898565
3.3,1,0.899574
3.31,1,0.900573
3.32,1,0.901563
3.33,1,0.902542
3.34,1,0.903512
3.35,1,0.904472
3.36,1,0.905422
3.37,1,0.906363
3.38,1,0.907295
3.39,1,0.908218
3.4,1,0.909131
3.41,1,0.910035
3.42,1,0.91093
3.43,1,0.911816
3.44,1,0.912694
3.45,1,0.913563
3.46,1,0.914423
3.47,1,0.915274
3.48,1,0.916117
3.49,1,0.916952
3.5,1,0.917778
3.51,1,0.918596
3.52,1,0.919406
3.53,1,0.920208
3.54,1,0.921002
3.55,1,0.921788
3.56,1,0.922566
3.57,1,0.923337
3.58,1,0.9241
3.59,1,0.924855
3.6,1,0.925603
3.61,1,0.926343
3.62,1,0.927076
3.63,1,0.927801
3.64,1,0.92852
3.65,1,0.929231
3.66,1,0.929935
3.67,1,0.930632
3.68,1,0.931323
3.69,1,0.932006
3.7,1,0.932682
3.71,1,0.933352
3.72,1,0.934015
3.73,1,0.934672
3.74,1,0.935322
3.75,1,0.935966
3.76,1,0.936603
3.77,1,0.937234
3.78,1,0.937858
3.79,1,0.938476
3.8,1,0.939089
3.81,1,0.939695
3.82,1,0.940295
3.83,1,0.940889
3.84,1,0.941477
3.85,1,0.942059
3.86,1,0.942636
3.87,1,0.943207
3.88,1,0.943772
3.89,1,0.944331
3.9,1,0.944885
3.91,1,0.945433
3.92,1,0.945976
3.93,1,0.946514
3.94,1,0.947046
3.95,1,0.947573
3.96,1,0.948095
3.97,1,0.948611
3.98,1,0.949123
3.99,1,0.949629
4,1,0.95013
4.01,1,0.950626
4.02,1,0.951117
4.03,1,0.951604
4.04,1,0.952085
4.05,1,0.952562
4.06,1,0.953034
4.07,1,0.953501
4.08,1,0.953964
4.09,1,0.954422
4.1,1,0.954876
4.11,1,0.955325
4.12,1,0.955769
4.13,1,0.956209
4.14,1,0.956645
4.15,1,0.957076
4.16,1,0.957504
4.17,1,0.957926
4.18,1,0.958345
4.19,1,0.95876
4.2,1,0.95917
4.21,1,0.959576
4.22,1,0.959978
4.23,1,0.960377
4.24,1,0.960771
4.25,1,0.961161
4.26,1,0.961548
4.27,1,0.96193
4.28,1,0.962309
4.29,1,0.962684
4.3,1,0.963055
4.31,1,0.963423
4.32,1,0.963787
4.33,1,0.964147
4.34,1,0.964504
4.35,1,0.964857
4.36,1,0.965207
4.37,1,0.965553
4.38,1,0.965896
4.39,1,0.966235
4.4,1,0.966571
4.41,1,0.966904
4.42,1,0.967233
4.43,1,0.967559
4.44,1,0.967882
4.45,1,0.968201
4.46,1,0.968518
4.47,1,0.968831
4.48,1,0.969141
4.49,1,0.969448
4.5,1,0.969752
4.51,1,0.970053
4.52,1,0.970351
4.53,1,0.970646
4.54,1,0.970938
4.55,1,0.971227
4.56,1,0.971514
4.57,1,0.971797
4.58,1,0.972078
4.59,1,0.972356
4.6,1,0.972631
4.61,1,0.972903
4.62,1,0.973173
4.63,1,0.97344
4.64,1,0.973704
4.65,1,0.973966
4.66,1,0.974225
4.67,1,0.974481
4.68,1,0.974735
4.69,1,0.974986
4.7,1,0.975235
4.71,1,0.975482
4.72,1,0.975726
4.73,1,0.975967
4.74,1,0.976206
4.75,1,0.976443
4.76,1,0.976677
4.77,1,0.97691
4.78,1,0.977139
4.79,1,0.977367
4.8,1,0.977592
4.81,1,0.977815
4.82,1,0.978036
4.83,1,0.978254
4.84,1,0.978471
4.85,1,0.978685
4.86,1,0.978897
4.87,1,0.979107
4.88,1,0.979315
4.89,1,0.979521
4.9,1,0.979724
4.91,1,0.979926
4.92,1,0.980126
4.93,1,0.980324
4.94,1,0.980519
4.95,1,0.980713
4.96,1,0.980905
4.97,1,0.981095
4.98,1,0.981283
4.99,1,0.981469
5,1,0.981654
5.01,1,0.981836
5.02,1,0.982017
5.03,1,0.982196
5.04,1,0.982373
5.05,1,0.982549
5.06,1,0.982722
5.07,1,0.982894
5.08,1,0.983064
5.09,1,0.983233
5.1,1,0.9834
5.11,1,0.983565
5.12,1,0.983728
5.13,1,0.98389
5.14,1,0.984051
5.15,1,0.984209
5.16,1,0.984366
5.17,1,0.984522
5.18,1,0.984676
5.19,1,0.984828
5.2,1,0.984979
5.21,1,0.985129
5.22,1,0.985277
5.23,1,0.985423
5.24,1,0.985568
5.25,1,0.985712
5.26,1,0.985854
5.27,1,0.985995
5.28,1,0.986134
5.29,1,0.986272
5.3,1,0.986409
5.31,1,0.986544
5.32,1,0.986678
5.33,1,0.986811
5.34,1,0.986942
5.35,1,0.987072
5.36,1,0.9872
5.37,1,0.987328
5.38,1,0.987454
5.39,1,0.987579
5.4,1,0.987702
5.41,1,0.987825
5.42,1,0.987946
