time,Message__1_Hz_,Carrier__20_Hz_,AM_Signal
0.137,0.603401,-0.982287,-0.982287
0.138,0.60669,-0.998027,-0.998027
0.139,0.609954,-0.998027,-0.998027
0.14,0.613194,-0.982287,-0.982287
0.141,0.616411,-0.951057,-0.951057
0.142,0.619602,-0.904827,-0.904827
0.143,0.62277,-0.844328,-0.844328
0.144,0.625913,-0.770513,-0.770513
0.145,0.629031,-0.684547,-0.684547
0.146,0.632124,-0.587785,-0.587785
0.147,0.635192,-0.481754,-0.481754
0.148,0.638236,-0.368125,-0.368125
0.149,0.641254,-0.24869,-0.24869
0.15,0.644246,-0.125333,-0.125333
0.151,0.647214,1.34761e-14,1.34761e-14
0.152,0.650155,0.125333,0.125333
0.153,0.653071,0.24869,0.24869
0.154,0.655962,0.368125,0.368125
0.155,0.658826,0.481754,0.481754
0.156,0.661664,0.587785,0.587785
0.157,0.664477,0.684547,0.684547
0.158,0.667263,0.770513,0.770513
0.159,0.670022,0.844328,0.844328
0.16,0.672756,0.904827,0.904827
0.161,0.675462,0.951057,0.951057
0.162,0.678142,0.982287,0.982287
0.163,0.680796,0.998027,0.998027
0.164,0.683422,0.998027,0.998027
0.165,0.686021,0.982287,0.982287
0.166,0.688594,0.951057,0.951057
0.167,0.691139,0.904827,0.904827
0.168,0.693657,0.844328,0.844328
0.169,0.696147,0.770513,0.770513
0.17,0.69861,0.684547,0.684547
0.171,0.701045,0.587785,0.587785
0.172,0.703453,0.481754,0.481754
0.173,0.705833,0.368125,0.368125
0.174,0.708185,0.24869,0.24869
0.175,0.710509,0.125333,0.125333
0.176,0.712805,-1.69063e-14,-1.69063e-14
0.177,0.715073,-0.125333,-0.125333
0.178,0.717313,-0.24869,-0.24869
0.179,0.719524,-0.368125,-0.368125
0.18,0.721707,-0.481754,-0.481754
0.181,0.723862,-0.587785,-0.587785
0.182,0.725988,-0.684547,-0.684547
0.183,0.728085,-0.770513,-0.770513
0.184,0.730153,-0.844328,-0.844328
0.185,0.732193,-0.904827,-0.904827
0.186,0.734204,-0.951057,-0.951057
0.187,0.736185,-0.982287,-0.982287
0.188,0.738138,-0.998027,-0.998027
0.189,0.740062,-0.998027,-0.998027
0.19,0.741956,-0.982287,-0.982287
0.191,0.743821,-0.951057,-0.951057
0.192,0.745657,-0.904827,-0.904827
0.193,0.747463,-0.844328,-0.844328
0.194,0.74924,-0.770513,-0.770513
0.195,0.750987,-0.684547,-0.684547
0.196,0.752705,-0.587785,-0.587785
0.197,0.754392,-0.481754,-0.481754
0.198,0.75605,-0.368125,-0.368125
0.199,0.757679,-0.24869,-0.24869
0.2,0.759277,-0.125333,-0.125333
0.201,0.760845,1.67839e-14,1.67839e-14
0.202,0.762383,0.125333,0.125333
0.203,0.763892,0.24869,0.24869
0.204,0.76537,0.368125,0.368125
0.205,0.766817,0.481754,0.481754
0.206,0.768235,0.587785,0.587785
0.207,0.769622,0.684547,0.684547
0.208,0.770979,0.770513,0.770513
0.209,0.772305,0.844328,0.844328
0.21,0.773601,0.904827,0.904827
0.211,0.774867,0.951057,0.951057
0.212,0.776101,0.982287,0.982287
0.213,0.777305,0.998027,0.998027
0.214,0.778479,0.998027,0.998027
0.215,0.779621,0.982287,0.982287
0.216,0.780733,0.951057,0.951057
0.217,0.781814,0.904827,0.904827
0.218,0.782865,0.844328,0.844328
0.219,0.783884,0.770513,0.770513
0.22,0.784872,0.684547,0.684547
0.221,0.78583,0.587785,0.587785
0.222,0.786756,0.481754,0.481754
0.223,0.787651,0.368125,0.368125
0.224,0.788516,0.24869,0.24869
0.225,0.789349,0.125333,0.125333
0.226,0.790151,-2.02141e-14,-2.02141e-14
0.227,0.790921,-0.125333,-0.125333
0.228,0.791661,-0.24869,-0.24869
0.229,0.792369,-0.368125,-0.368125
0.23,0.793046,-0.481754,-0.481754
0.231,0.793692,-0.587785,-0.587785
0.232,0.794306,-0.684547,-0.684547
0.233,0.794889,-0.770513,-0.770513
0.234,0.795441,-0.844328,-0.844328
0.235,0.795961,-0.904827,-0.904827
0.236,0.79645,-0.951057,-0.951057
0.237,0.796907,-0.982287,-0.982287
0.238,0.797333,-0.998027,-0.998027
0.239,0.797727,-0.998027,-0.998027
0.24,0.79809,-0.982287,-0.982287
0.241,0.798421,-0.951057,-0.951057
0.242,0.798721,-0.904827,-0.904827
0.243,0.79899,-0.844328,-0.844328
0.244,0.799226,-0.770513,-0.770513
0.245,0.799432,-0.684547,-0.684547
0.246,0.799605,-0.587785,-0.587785
0.247,0.799747,-0.481754,-0.481754
0.248,0.799858,-0.368125,-0.368125
0.249,0.799937,-0.24869,-0.24869
0.25,0.799984,-0.125333,-0.125333
0.251,0.8,2.00916e-14,2.00916e-14
0.252,0.799984,0.125333,0.125333
0.253,0.799937,0.24869,0.24869
0.254,0.799858,0.368125,0.368125
0.255,0.799747,0.481754,0.481754
0.256,0.799605,0.587785,0.587785
0.257,0.799432,0.684547,0.684547
0.258,0.799226,0.770513,0.770513
0.259,0.79899,0.844328,0.844328
0.26,0.798721,0.904827,0.904827
0.261,0.798421,0.951057,0.951057
0.262,0.79809,0.982287,0.982287
0.263,0.797727,0.998027,0.998027
0.264,0.797333,0.998027,0.998027
0.265,0.796907,0.982287,0.982287
0.266,0.79645,0.951057,0.951057
0.267,0.795961,0.904827,0.904827
0.268,0.795441,0.844328,0.844328
0.269,0.794889,0.770513,0.770513
0.27,0.794306,0.684547,0.684547
0.271,0.793692,0.587785,0.587785
0.272,0.793046,0.481754,0.481754
0.273,0.792369,0.368125,0.368125
0.274,0.791661,0.24869,0.24869
0.275,0.790921,0.125333,0.125333
0.276,0.790151,-2.35219e-14,-2.35219e-14
0.277,0.789349,-0.125333,-0.125333
0.278,0.788516,-0.24869,-0.24869
0.279,0.787651,-0.368125,-0.368125
0.28,0.786756,-0.481754,-0.481754
0.281,0.78583,-0.587785,-0.587785
0.282,0.784872,-0.684547,-0.684547
0.283,0.783884,-0.770513,-0.770513
0.284,0.782865,-0.844328,-0.844328
0.285,0.781814,-0.904827,-0.904827
0.286,0.780733,-0.951057,-0.951057
0.287,0.779621,-0.982287,-0.982287
0.288,0.778479,-0.998027,-0.998027
0.289,0.777305,-0.998027,-0.998027
0.29,0.776101,-0.982287,-0.982287
0.291,0.774867,-0.951057,-0.951057
0.292,0.773601,-0.904827,-0.904827
0.293,0.772305,-0.844328,-0.844328
0.294,0.770979,-0.770513,-0.770513
0.295,0.769622,-0.684547,-0.684547
0.296,0.768235,-0.587785,-0.587785
0.297,0.766817,-0.481754,-0.481754
0.298,0.76537,-0.368125,-0.368125
0.299,0.763892,-0.24869,-0.24869
0.3,0.762383,-0.125333,-0.125333
0.301,0.760845,2.69521e-14,2.69521e-14
0.302,0.759277,0.125333,0.125333
0.303,0.757679,0.24869,0.24869
0.304,0.75605,0.368125,0.368125
0.305,0.754392,0.481754,0.481754
0.306,0.752705,0.587785,0.587785
0.307,0.750987,0.684547,0.684547
0.308,0.74924,0.770513,0.770513
0.309,0.747463,0.844328,0.844328
0.31,0.745657,0.904827,0.904827
0.311,0.743821,0.951057,0.951057
0.312,0.741956,0.982287,0.982287
0.313,0.740062,0.998027,0.998027
0.314,0.738138,0.998027,0.998027
0.315,0.736185,0.982287,0.982287
0.316,0.734204,0.951057,0.951057
0.317,0.732193,0.904827,0.904827
0.318,0.730153,0.844328,0.844328
0.319,0.728085,0.770513,0.770513
0.32,0.725988,0.684547,0.684547
0.321,0.723862,0.587785,0.587785
0.322,0.721707,0.481754,0.481754
0.323,0.719524,0.368125,0.368125
0.324,0.717313,0.24869,0.24869
0.325,0.715073,0.125333,0.125333
0.326,0.712805,-3.03824e-14,-3.03824e-14
0.327,0.710509,-0.125333,-0.125333
0.328,0.708185,-0.24869,-0.24869
0.329,0.705833,-0.368125,-0.368125
0.33,0.703453,-0.481754,-0.481754
0.331,0.701045,-0.587785,-0.587785
0.332,0.69861,-0.684547,-0.684547
0.333,0.696147,-0.770513,-0.770513
0.334,0.693657,-0.844328,-0.844328
0.335,0.691139,-0.904827,-0.904827
0.336,0.688594,-0.951057,-0.951057
0.337,0.686021,-0.982287,-0.982287
0.338,0.683422,-0.998027,-0.998027
0.339,0.680796,-0.998027,-0.998027
0.34,0.678142,-0.982287,-0.982287
0.341,0.675462,-0.951057,-0.951057
0.342,0.672756,-0.904827,-0.904827
0.343,0.670022,-0.844328,-0.844328
0.344,0.667263,-0.770513,-0.770513
0.345,0.664477,-0.684547,-0.684547
0.346,0.661664,-0.587785,-0.587785
0.347,0.658826,-0.481754,-0.481754
0.348,0.655962,-0.368125,-0.368125
0.349,0.653071,-0.24869,-0.24869
0.35,0.650155,-0.125333,-0.125333
0.351,0.647214,3.38126e-14,3.38126e-14
0.352,0.644246,0.125333,0.125333
0.353,0.641254,0.24869,0.24869
0.354,0.638236,0.368125,0.368125
0.355,0.635192,0.481754,0.481754
0.356,0.632124,0.587785,0.587785
0.357,0.629031,0.684547,0.684547
0.358,0.625913,0.770513,0.770513
0.359,0.62277,0.844328,0.844328
0.36,0.619602,0.904827,0.904827
0.361,0.616411,0.951057,0.951057
0.362,0.613194,0.982287,0.982287
0.363,0.609954,0.998027,0.998027
0.364,0.60669,0.998027,0.998027
0.365,0.603401,0.982287,0.982287
0.366,0.600089,0.951057,0.951057
0.367,0.596753,0.904827,0.904827
0.368,0.593393,0.844328,0.844328
0.369,0.59001,0.770513,0.770513
0.37,0.586604,0.684547,0.684547
0.371,0.583175,0.587785,0.587785
0.372,0.579723,0.481754,0.481754
0.373,0.576247,0.368125,0.368125
0.374,0.572749,0.24869,0.24869
0.375,0.569229,0.125333,0.125333
0.376,0.565685,-3.01375e-14,-3.01375e-14
0.377,0.56212,-0.125333,-0.125333
0.378,0.558532,-0.24869,-0.24869
0.379,0.554923,-0.368125,-0.368125
0.38,0.551291,-0.481754,-0.481754
0.381,0.547638,-0.587785,-0.587785
0.382,0.543963,-0.684547,-0.684547
0.383,0.540266,-0.770513,-0.770513
0.384,0.536548,-0.844328,-0.844328
0.385,0.532809,-0.904827,-0.904827
0.386,0.529049,-0.951057,-0.951057
0.387,0.525269,-0.982287,-0.982287
0.388,0.521467,-0.998027,-0.998027
0.389,0.517645,-0.998027,-0.998027
0.39,0.513802,-0.982287,-0.982287
0.391,0.509939,-0.951057,-0.951057
0.392,0.506056,-0.904827,-0.904827
0.393,0.502153,-0.844328,-0.844328
0.394,0.49823,-0.770513,-0.770513
0.395,0.494288,-0.684547,-0.684547
0.396,0.490326,-0.587785,-0.587785
0.397,0.486344,-0.481754,-0.481754
0.398,0.482344,-0.368125,-0.368125
0.399,0.478324,-0.24869,-0.24869
0.4,0.474285,-0.125333,-0.125333
0.401,0.470228,3.35677e-14,3.35677e-14
0.402,0.466152,0.125333,0.125333
0.403,0.462058,0.24869,0.24869
0.404,0.457946,0.368125,0.368125
0.405,0.453815,0.481754,0.481754
0.406,0.449667,0.587785,0.587785
0.407,0.4455,0.684547,0.684547
0.408,0.441317,0.770513,0.770513
0.409,0.437115,0.844328,0.844328
0.41,0.432897,0.904827,0.904827
0.411,0.428661,0.951057,0.951057
0.412,0.424409,0.982287,0.982287
0.413,0.42014,0.998027,0.998027
0.414,0.415854,0.998027,0.998027
0.415,0.411552,0.982287,0.982287
0.416,0.407233,0.951057,0.951057
0.417,0.402899,0.904827,0.904827
0.418,0.398548,0.844328,0.844328
0.419,0.394182,0.770513,0.770513
0.42,0.3898,0.684547,0.684547
0.421,0.385403,0.587785,0.587785
0.422,0.380991,0.481754,0.481754
0.423,0.376563,0.368125,0.368125
0.424,0.372121,0.24869,0.24869
0.425,0.367664,0.125333,0.125333
0.426,0.363192,-3.6998e-14,-3.6998e-14
0.427,0.358707,-0.125333,-0.125333
0.428,0.354207,-0.24869,-0.24869
0.429,0.349693,-0.368125,-0.368125
0.43,0.345165,-0.481754,-0.481754
0.431,0.340623,-0.587785,-0.587785
0.432,0.336069,-0.684547,-0.684547
0.433,0.3315,-0.770513,-0.770513
0.434,0.326919,-0.844328,-0.844328
0.435,0.322325,-0.904827,-0.904827
0.436,0.317718,-0.951057,-0.951057
0.437,0.313099,-0.982287,-0.982287
0.438,0.308467,-0.998027,-0.998027
0.439,0.303823,-0.998027,-0.998027
0.44,0.299167,-0.982287,-0.982287
0.441,0.2945,-0.951057,-0.951057
0.442,0.28982,-0.904827,-0.904827
0.443,0.28513,-0.844328,-0.844328
0.444,0.280427,-0.770513,-0.770513
0.445,0.275714,-0.684547,-0.684547
0.446,0.27099,-0.587785,-0.587785
0.447,0.266256,-0.481754,-0.481754
0.448,0.26151,-0.368125,-0.368125
0.449,0.256755,-0.24869,-0.24869
0.45,0.251989,-0.125333,-0.125333
0.451,0.247214,4.04282e-14,4.04282e-14
0.452,0.242428,0.125333,0.125333
0.453,0.237633,0.24869,0.24869
0.454,0.232829,0.368125,0.368125
0.455,0.228015,0.481754,0.481754
0.456,0.223193,0.587785,0.587785
0.457,0.218362,0.684547,0.684547
0.458,0.213522,0.770513,0.770513
0.459,0.208673,0.844328,0.844328
0.46,0.203817,0.904827,0.904827
0.461,0.198952,0.951057,0.951057
0.462,0.194079,0.982287,0.982287
0.463,0.189199,0.998027,0.998027
0.464,0.184312,0.998027,0.998027
0.465,0.179417,0.982287,0.982287
0.466,0.174515,0.951057,0.951057
0.467,0.169606,0.904827,0.904827
0.468,0.16469,0.844328,0.844328
0.469,0.159768,0.770513,0.770513
0.47,0.15484,0.684547,0.684547
0.471,0.149905,0.587785,0.587785
0.472,0.144965,0.481754,0.481754
0.473,0.140018,0.368125,0.368125
0.474,0.135067,0.24869,0.24869
0.475,0.13011,0.125333,0.125333
0.476,0.125148,-4.38584e-14,-4.38584e-14
0.477,0.12018,-0.125333,-0.125333
0.478,0.115209,-0.24869,-0.24869
0.479,0.110232,-0.368125,-0.368125
0.48,0.105251,-0.481754,-0.481754
0.481,0.100267,-0.587785,-0.587785
0.482,0.0952777,-0.684547,-0.684547
0.483,0.0902851,-0.770513,-0.770513
0.484,0.0852889,-0.844328,-0.844328
0.485,0.0802894,-0.904827,-0.904827
0.486,0.0752867,-0.951057,-0.951057
0.487,0.070281,-0.982287,-0.982287
0.488,0.0652725,-0.998027,-0.998027
0.489,0.0602614,-0.998027,-0.998027
