time,Large_Setpoint,Plant__AW_,Plant__Std_,Anti_Windup_PID,Standard_PID
4.78,1,0.982143,0.976948,0.982143,2.07781
4.79,1,0.982143,0.977177,0.982143,2.07724
4.8,1,0.982143,0.977404,0.982143,2.07667
4.81,1,0.982143,0.977629,0.982143,2.0761
4.82,1,0.982143,0.977852,0.982143,2.07555
4.83,1,0.982143,0.978072,0.982143,2.07499
4.84,1,0.982143,0.97829,0.982143,2.07445
4.85,1,0.982143,0.978506,0.982143,2.0739
4.86,1,0.982143,0.97872,0.982143,2.07337
4.87,1,0.982143,0.978932,0.982143,2.07284
4.88,1,0.982143,0.979142,0.982143,2.07231
4.89,1,0.982143,0.979349,0.982143,2.07179
4.9,1,0.982143,0.979555,0.982143,2.07128
4.91,1,0.982143,0.979758,0.982143,2.07077
4.92,1,0.982143,0.97996,0.982143,2.07026
4.93,1,0.982143,0.980159,0.982143,2.06976
4.94,1,0.982143,0.980356,0.982143,2.06927
4.95,1,0.982143,0.980552,0.982143,2.06878
4.96,1,0.982143,0.980745,0.982143,2.06829
4.97,1,0.982143,0.980937,0.982143,2.06781
4.98,1,0.982143,0.981127,0.982143,2.06733
4.99,1,0.982143,0.981314,0.982143,2.06686
5,1,0.982143,0.9815,0.982143,2.0664
5.01,1,0.982143,0.981684,0.982143,2.06594
5.02,1,0.982143,0.981867,0.982143,2.06548
5.03,1,0.982143,0.982047,0.982143,2.06503
5.04,1,0.982143,0.982226,0.982143,2.06458
5.05,1,0.982143,0.982403,0.982143,2.06414
5.06,1,0.982143,0.982578,0.982143,2.0637
5.07,1,0.982143,0.982751,0.982143,2.06326
5.08,1,0.982143,0.982923,0.982143,2.06283
5.09,1,0.982143,0.983093,0.982143,2.0624
5.1,1,0.982143,0.983261,0.982143,2.06198
5.11,1,0.982143,0.983427,0.982143,2.06157
5.12,1,0.982143,0.983592,0.982143,2.06115
5.13,1,0.982143,0.983755,0.982143,2.06074
5.14,1,0.982143,0.983917,0.982143,2.06034
5.15,1,0.982143,0.984077,0.982143,2.05994
5.16,1,0.982143,0.984236,0.982143,2.05954
5.17,1,0.982143,0.984392,0.982143,2.05915
5.18,1,0.982143,0.984548,0.982143,2.05876
5.19,1,0.982143,0.984701,0.982143,2.05837
5.2,1,0.982143,0.984854,0.982143,2.05799
5.21,1,0.982143,0.985004,0.982143,2.05761
5.22,1,0.982143,0.985154,0.982143,2.05724
5.23,1,0.982143,0.985301,0.982143,2.05687
5.24,1,0.982143,0.985448,0.982143,2.0565
5.25,1,0.982143,0.985592,0.982143,2.05614
5.26,1,0.982143,0.985736,0.982143,2.05578
5.27,1,0.982143,0.985878,0.982143,2.05542
5.28,1,0.982143,0.986018,0.982143,2.05507
5.29,1,0.982143,0.986157,0.982143,2.05472
5.3,1,0.982143,0.986295,0.982143,2.05437
5.31,1,0.982143,0.986431,0.982143,2.05403
5.32,1,0.982143,0.986566,0.982143,2.05369
5.33,1,0.982143,0.9867,0.982143,2.05336
5.34,1,0.982143,0.986832,0.982143,2.05303
5.35,1,0.982143,0.986963,0.982143,2.0527
5.36,1,0.982143,0.987093,0.982143,2.05237
5.37,1,0.982143,0.987222,0.982143,2.05205
5.38,1,0.982143,0.987349,0.982143,2.05173
5.39,1,0.982143,0.987475,0.982143,2.05142
5.4,1,0.982143,0.987599,0.982143,2.0511
5.41,1,0.982143,0.987723,0.982143,2.05079
5.42,1,0.982143,0.987845,0.982143,2.05049
5.43,1,0.982143,0.987966,0.982143,2.05018
5.44,1,0.982143,0.988086,0.982143,2.04988
5.45,1,0.982143,0.988204,0.982143,2.04959
5.46,1,0.982143,0.988321,0.982143,2.04929
5.47,1,0.982143,0.988438,0.982143,2.049
5.48,1,0.982143,0.988553,0.982143,2.04871
5.49,1,0.982143,0.988667,0.982143,2.04843
5.5,1,0.982143,0.988779,0.982143,2.04814
5.51,1,0.982143,0.988891,0.982143,2.04786
5.52,1,0.982143,0.989002,0.982143,2.04759
5.53,1,0.982143,0.989111,0.982143,2.04731
5.54,1,0.982143,0.989219,0.982143,2.04704
5.55,1,0.982143,0.989327,0.982143,2.04677
5.56,1,0.982143,0.989433,0.982143,2.04651
5.57,1,0.982143,0.989538,0.982143,2.04624
5.58,1,0.982143,0.989642,0.982143,2.04598
5.59,1,0.982143,0.989745,0.982143,2.04572
5.6,1,0.982143,0.989847,0.982143,2.04547
5.61,1,0.982143,0.989948,0.982143,2.04521
5.62,1,0.982143,0.990048,0.982143,2.04496
5.63,1,0.982143,0.990147,0.982143,2.04471
5.64,1,0.982143,0.990245,0.982143,2.04447
5.65,1,0.982143,0.990342,0.982143,2.04423
5.66,1,0.982143,0.990438,0.982143,2.04398
5.67,1,0.982143,0.990534,0.982143,2.04375
5.68,1,0.982143,0.990628,0.982143,2.04351
5.69,1,0.982143,0.990721,0.982143,2.04328
5.7,1,0.982143,0.990813,0.982143,2.04304
5.71,1,0.982143,0.990905,0.982143,2.04282
5.72,1,0.982143,0.990995,0.982143,2.04259
5.73,1,0.982143,0.991085,0.982143,2.04236
5.74,1,0.982143,0.991174,0.982143,2.04214
5.75,1,0.982143,0.991261,0.982143,2.04192
5.76,1,0.982143,0.991348,0.982143,2.0417
5.77,1,0.982143,0.991434,0.982143,2.04149
5.78,1,0.982143,0.99152,0.982143,2.04127
5.79,1,0.982143,0.991604,0.982143,2.04106
5.8,1,0.982143,0.991688,0.982143,2.04085
5.81,1,0.982143,0.99177,0.982143,2.04064
5.82,1,0.982143,0.991852,0.982143,2.04044
5.83,1,0.982143,0.991933,0.982143,2.04024
5.84,1,0.982143,0.992013,0.982143,2.04004
5.85,1,0.982143,0.992093,0.982143,2.03984
5.86,1,0.982143,0.992172,0.982143,2.03964
5.87,1,0.982143,0.99225,0.982143,2.03944
5.88,1,0.982143,0.992327,0.982143,2.03925
5.89,1,0.982143,0.992403,0.982143,2.03906
5.9,1,0.982143,0.992479,0.982143,2.03887
5.91,1,0.982143,0.992553,0.982143,2.03868
5.92,1,0.982143,0.992628,0.982143,2.0385
5.93,1,0.982143,0.992701,0.982143,2.03831
5.94,1,0.982143,0.992773,0.982143,2.03813
5.95,1,0.982143,0.992845,0.982143,2.03795
5.96,1,0.982143,0.992917,0.982143,2.03777
5.97,1,0.982143,0.992987,0.982143,2.03759
5.98,1,0.982143,0.993057,0.982143,2.03742
5.99,1,0.982143,0.993126,0.982143,2.03725
6,1,0.982143,0.993194,0.982143,2.03707
6.01,1,0.982143,0.993262,0.982143,2.0369
6.02,1,0.982143,0.993329,0.982143,2.03674
6.03,1,0.982143,0.993395,0.982143,2.03657
6.04,1,0.982143,0.993461,0.982143,2.0364
6.05,1,0.982143,0.993526,0.982143,2.03624
6.06,1,0.982143,0.993591,0.982143,2.03608
6.07,1,0.982143,0.993654,0.982143,2.03592
6.08,1,0.982143,0.993718,0.982143,2.03576
6.09,1,0.982143,0.99378,0.982143,2.03561
6.1,1,0.982143,0.993842,0.982143,2.03545
6.11,1,0.982143,0.993903,0.982143,2.0353
6.12,1,0.982143,0.993964,0.982143,2.03514
6.13,1,0.982143,0.994024,0.982143,2.03499
6.14,1,0.982143,0.994083,0.982143,2.03484
6.15,1,0.982143,0.994142,0.982143,2.0347
6.16,1,0.982143,0.994201,0.982143,2.03455
6.17,1,0.982143,0.994258,0.982143,2.03441
6.18,1,0.982143,0.994315,0.982143,2.03426
6.19,1,0.982143,0.994372,0.982143,2.03412
6.2,1,0.982143,0.994428,0.982143,2.03398
6.21,1,0.982143,0.994483,0.982143,2.03384
6.22,1,0.982143,0.994538,0.982143,2.0337
6.23,1,0.982143,0.994593,0.982143,2.03357
6.24,1,0.982143,0.994646,0.982143,2.03343
6.25,1,0.982143,0.9947,0.982143,2.0333
6.26,1,0.982143,0.994752,0.982143,2.03317
6.27,1,0.982143,0.994805,0.982143,2.03304
6.28,1,0.982143,0.994856,0.982143,2.03291
6.29,1,0.982143,0.994908,0.982143,2.03278
6.3,1,0.982143,0.994958,0.982143,2.03265
6.31,1,0.982143,0.995008,0.982143,2.03253
6.32,1,0.982143,0.995058,0.982143,2.0324
6.33,1,0.982143,0.995107,0.982143,2.03228
6.34,1,0.982143,0.995156,0.982143,2.03216
6.35,1,0.982143,0.995204,0.982143,2.03203
6.36,1,0.982143,0.995252,0.982143,2.03191
6.37,1,0.982143,0.995299,0.982143,2.0318
6.38,1,0.982143,0.995346,0.982143,2.03168
6.39,1,0.982143,0.995392,0.982143,2.03156
6.4,1,0.982143,0.995438,0.982143,2.03145
6.41,1,0.982143,0.995483,0.982143,2.03133
6.42,1,0.982143,0.995528,0.982143,2.03122
6.43,1,0.982143,0.995573,0.982143,2.03111
6.44,1,0.982143,0.995617,0.982143,2.031
6.45,1,0.982143,0.995661,0.982143,2.03089
6.46,1,0.982143,0.995704,0.982143,2.03078
6.47,1,0.982143,0.995746,0.982143,2.03067
6.48,1,0.982143,0.995789,0.982143,2.03057
6.49,1,0.982143,0.995831,0.982143,2.03046
6.5,1,0.982143,0.995872,0.982143,2.03036
6.51,1,0.982143,0.995913,0.982143,2.03026
6.52,1,0.982143,0.995954,0.982143,2.03015
6.53,1,0.982143,0.995994,0.982143,2.03005
6.54,1,0.982143,0.996034,0.982143,2.02995
6.55,1,0.982143,0.996073,0.982143,2.02985
