time,Reference,Plant_G_s_,Uncompensated,Compensator_Output
1.71,1,0.150875,0.158707,0.850728
1.72,1,0.154084,0.162202,0.847522
1.73,1,0.157299,0.165711,0.84431
1.74,1,0.160518,0.169233,0.841093
1.75,1,0.16374,0.172768,0.837872
1.76,1,0.166966,0.176315,0.834647
1.77,1,0.170194,0.179873,0.83142
1.78,1,0.173424,0.183441,0.828192
1.79,1,0.176654,0.18702,0.824961
1.8,1,0.179885,0.190609,0.82173
1.81,1,0.183116,0.194206,0.8185
1.82,1,0.186345,0.197812,0.815269
1.83,1,0.189573,0.201427,0.812041
1.84,1,0.192799,0.205048,0.808814
1.85,1,0.196022,0.208677,0.805589
1.86,1,0.199241,0.212312,0.802368
1.87,1,0.202457,0.215953,0.79915
1.88,1,0.205668,0.2196,0.795937
1.89,1,0.208874,0.223251,0.792728
1.9,1,0.212074,0.226908,0.789525
1.91,1,0.215268,0.230568,0.786327
1.92,1,0.218456,0.234232,0.783136
1.93,1,0.221636,0.2379,0.779952
1.94,1,0.224809,0.24157,0.776775
1.95,1,0.227974,0.245243,0.773606
1.96,1,0.23113,0.248917,0.770446
1.97,1,0.234277,0.252594,0.767294
1.98,1,0.237415,0.256271,0.764151
1.99,1,0.240543,0.259949,0.761019
2,1,0.24366,0.263628,0.757896
2.01,1,0.246767,0.267307,0.754784
2.02,1,0.249863,0.270985,0.751682
2.03,1,0.252947,0.274663,0.748593
2.04,1,0.256019,0.27834,0.745514
2.05,1,0.259079,0.282015,0.742448
2.06,1,0.262126,0.285689,0.739395
2.07,1,0.26516,0.289361,0.736354
2.08,1,0.268181,0.29303,0.733326
2.09,1,0.271188,0.296697,0.730312
2.1,1,0.274181,0.30036,0.727312
2.11,1,0.27716,0.304021,0.724326
2.12,1,0.280124,0.307678,0.721355
2.13,1,0.283073,0.311331,0.718398
2.14,1,0.286007,0.31498,0.715456
2.15,1,0.288926,0.318624,0.71253
2.16,1,0.291828,0.322264,0.709619
2.17,1,0.294715,0.325898,0.706724
2.18,1,0.297585,0.329528,0.703846
2.19,1,0.300439,0.333152,0.700984
2.2,1,0.303276,0.33677,0.698138
2.21,1,0.306096,0.340383,0.69531
2.22,1,0.308899,0.343989,0.692498
2.23,1,0.311684,0.347588,0.689704
2.24,1,0.314452,0.351181,0.686928
2.25,1,0.317202,0.354767,0.684169
2.26,1,0.319933,0.358346,0.681428
2.27,1,0.322647,0.361918,0.678705
2.28,1,0.325342,0.365482,0.676001
2.29,1,0.328019,0.369038,0.673315
2.3,1,0.330676,0.372586,0.670648
2.31,1,0.333315,0.376127,0.667999
2.32,1,0.335935,0.379658,0.66537
2.33,1,0.338536,0.383182,0.66276
2.34,1,0.341117,0.386696,0.660169
2.35,1,0.343679,0.390202,0.657597
2.36,1,0.346221,0.393699,0.655045
