time,Reference,Plant_G_s_,Uncompensated,Compensator_Output
6.85,1,0.499245,0.980245,0.500749
6.86,1,0.499233,0.980413,0.500761
6.87,1,0.499221,0.980579,0.500773
6.88,1,0.49921,0.980744,0.500784
6.89,1,0.4992,0.980908,0.500795
6.9,1,0.499189,0.981071,0.500806
6.91,1,0.499179,0.981232,0.500816
6.92,1,0.49917,0.981392,0.500826
6.93,1,0.49916,0.98155,0.500835
6.94,1,0.499151,0.981708,0.500844
6.95,1,0.499143,0.981864,0.500853
6.96,1,0.499135,0.982018,0.500861
6.97,1,0.499127,0.982172,0.500869
6.98,1,0.499119,0.982324,0.500877
6.99,1,0.499112,0.982474,0.500885
7,1,0.499105,0.982624,0.500892
7.01,1,0.499098,0.982772,0.500898
7.02,1,0.499092,0.982919,0.500905
7.03,1,0.499086,0.983065,0.500911
7.04,1,0.49908,0.98321,0.500917
7.05,1,0.499075,0.983353,0.500922
7.06,1,0.49907,0.983496,0.500928
7.07,1,0.499065,0.983637,0.500933
7.08,1,0.49906,0.983777,0.500937
7.09,1,0.499056,0.983915,0.500942
7.1,1,0.499052,0.984053,0.500946
7.11,1,0.499048,0.984189,0.50095
7.12,1,0.499045,0.984325,0.500953
7.13,1,0.499042,0.984459,0.500957
7.14,1,0.499039,0.984592,0.50096
7.15,1,0.499036,0.984724,0.500963
7.16,1,0.499034,0.984855,0.500965
7.17,1,0.499031,0.984984,0.500968
7.18,1,0.499029,0.985113,0.50097
7.19,1,0.499028,0.985241,0.500972
7.2,1,0.499026,0.985367,0.500973
7.21,1,0.499025,0.985493,0.500975
7.22,1,0.499024,0.985617,0.500976
7.23,1,0.499023,0.98574,0.500977
7.24,1,0.499022,0.985863,0.500978
7.25,1,0.499022,0.985984,0.500978
7.26,1,0.499021,0.986104,0.500979
7.27,1,0.499021,0.986224,0.500979
7.28,1,0.499021,0.986342,0.500979
7.29,1,0.499022,0.986459,0.500978
7.3,1,0.499022,0.986576,0.500978
7.31,1,0.499023,0.986691,0.500977
7.32,1,0.499024,0.986805,0.500977
7.33,1,0.499025,0.986919,0.500976
7.34,1,0.499026,0.987031,0.500975
7.35,1,0.499027,0.987143,0.500973
7.36,1,0.499029,0.987254,0.500972
7.37,1,0.499031,0.987363,0.50097
7.38,1,0.499033,0.987472,0.500968
7.39,1,0.499035,0.98758,0.500966
7.4,1,0.499037,0.987687,0.500964
7.41,1,0.499039,0.987793,0.500962
7.42,1,0.499042,0.987898,0.50096
7.43,1,0.499044,0.988002,0.500957
7.44,1,0.499047,0.988106,0.500954
7.45,1,0.49905,0.988208,0.500952
7.46,1,0.499053,0.98831,0.500949
7.47,1,0.499056,0.988411,0.500946
7.48,1,0.499059,0.988511,0.500942
7.49,1,0.499063,0.98861,0.500939
7.5,1,0.499066,0.988708,0.500936
7.51,1,0.49907,0.988805,0.500932
7.52,1,0.499074,0.988902,0.500928
7.53,1,0.499077,0.988998,0.500924
7.54,1,0.499081,0.989093,0.500921
7.55,1,0.499085,0.989187,0.500917
7.56,1,0.49909,0.98928,0.500912
7.57,1,0.499094,0.989373,0.500908
7.58,1,0.499098,0.989465,0.500904
7.59,1,0.499103,0.989556,0.5009
7.6,1,0.499107,0.989646,0.500895
7.61,1,0.499112,0.989736,0.50089
7.62,1,0.499117,0.989825,0.500886
7.63,1,0.499121,0.989913,0.500881
7.64,1,0.499126,0.99,0.500876
7.65,1,0.499131,0.990086,0.500871
7.66,1,0.499136,0.990172,0.500866
7.67,1,0.499141,0.990257,0.500861
7.68,1,0.499146,0.990342,0.500856
7.69,1,0.499152,0.990425,0.500851
7.7,1,0.499157,0.990508,0.500846
7.71,1,0.499162,0.99059,0.50084
7.72,1,0.499168,0.990672,0.500835
7.73,1,0.499173,0.990753,0.50083
7.74,1,0.499179,0.990833,0.500824
7.75,1,0.499184,0.990913,0.500818
7.76,1,0.49919,0.990991,0.500813
7.77,1,0.499196,0.991069,0.500807
7.78,1,0.499201,0.991147,0.500801
7.79,1,0.499207,0.991224,0.500796
7.8,1,0.499213,0.9913,0.50079
7.81,1,0.499219,0.991375,0.500784
7.82,1,0.499225,0.99145,0.500778
7.83,1,0.499231,0.991525,0.500772
7.84,1,0.499237,0.991598,0.500766
7.85,1,0.499243,0.991671,0.50076
7.86,1,0.499249,0.991744,0.500754
7.87,1,0.499255,0.991815,0.500748
7.88,1,0.499261,0.991886,0.500742
7.89,1,0.499267,0.991957,0.500736
7.9,1,0.499273,0.992027,0.50073
7.91,1,0.499279,0.992096,0.500724
7.92,1,0.499286,0.992165,0.500718
7.93,1,0.499292,0.992233,0.500711
7.94,1,0.499298,0.992301,0.500705
7.95,1,0.499304,0.992368,0.500699
7.96,1,0.49931,0.992434,0.500693
7.97,1,0.499317,0.9925,0.500686
7.98,1,0.499323,0.992565,0.50068
7.99,1,0.499329,0.99263,0.500674
8,1,0.499336,0.992694,0.500668
