time,Scope
2.95,-0.368125
2.96,-0.309017
2.97,-0.24869
2.98,-0.187381
2.99,-0.125333
3,-0.0627905
3.01,-1.2508e-13
3.02,0.0627905
3.03,0.125333
3.04,0.187381
3.05,0.24869
3.06,0.309017
3.07,0.368125
3.08,0.425779
3.09,0.481754
3.1,0.535827
3.11,0.587785
3.12,0.637424
3.13,0.684547
3.14,0.728969
3.15,0.770513
3.16,0.809017
3.17,0.844328
3.18,0.876307
3.19,0.904827
3.2,0.929776
3.21,0.951057
3.22,0.968583
3.23,0.982287
3.24,0.992115
3.25,0.998027
3.26,1
3.27,0.998027
3.28,0.992115
3.29,0.982287
3.3,0.968583
3.31,0.951057
3.32,0.929776
3.33,0.904827
3.34,0.876307
3.35,0.844328
3.36,0.809017
3.37,0.770513
3.38,0.728969
3.39,0.684547
3.4,0.637424
3.41,0.587785
3.42,0.535827
3.43,0.481754
3.44,0.425779
3.45,0.368125
3.46,0.309017
3.47,0.24869
3.48,0.187381
3.49,0.125333
3.5,0.0627905
3.51,1.92704e-13
3.52,-0.0627905
3.53,-0.125333
3.54,-0.187381
3.55,-0.24869
3.56,-0.309017
3.57,-0.368125
3.58,-0.425779
3.59,-0.481754
3.6,-0.535827
3.61,-0.587785
3.62,-0.637424
3.63,-0.684547
3.64,-0.728969
3.65,-0.770513
3.66,-0.809017
3.67,-0.844328
3.68,-0.876307
3.69,-0.904827
3.7,-0.929776
3.71,-0.951057
3.72,-0.968583
3.73,-0.982287
3.74,-0.992115
3.75,-0.998027
3.76,-1
3.77,-0.998027
3.78,-0.992115
3.79,-0.982287
3.8,-0.968583
3.81,-0.951057
3.82,-0.929776
3.83,-0.904827
3.84,-0.876307
3.85,-0.844328
3.86,-0.809017
3.87,-0.770513
3.88,-0.728969
3.89,-0.684547
3.9,-0.637424
3.91,-0.587785
3.92,-0.535827
3.93,-0.481754
3.94,-0.425779
3.95,-0.368125
3.96,-0.309017
3.97,-0.24869
3.98,-0.187381
3.99,-0.125333
4,-0.0627905
4.01,-2.60328e-13
4.02,0.0627905
4.03,0.125333
4.04,0.187381
4.05,0.24869
4.06,0.309017
4.07,0.368125
4.08,0.425779
4.09,0.481754
4.1,0.535827
4.11,0.587785
4.12,0.637424
4.13,0.684547
4.14,0.728969
4.15,0.770513
4.16,0.809017
4.17,0.844328
4.18,0.876307
4.19,0.904827
4.2,0.929776
4.21,0.951057
4.22,0.968583
4.23,0.982287
4.24,0.992115
4.25,0.998027
4.26,1
4.27,0.998027
4.28,0.992115
4.29,0.982287
4.3,0.968583
4.31,0.951057
4.32,0.929776
4.33,0.904827
4.34,0.876307
4.35,0.844328
4.36,0.809017
4.37,0.770513
4.38,0.728969
4.39,0.684547
4.4,0.637424
4.41,0.587785
4.42,0.535827
4.43,0.481754
4.44,0.425779
4.45,0.368125
4.46,0.309017
4.47,0.24869
4.48,0.187381
4.49,0.125333
4.5,0.0627905
4.51,3.24399e-13
4.52,-0.0627905
4.53,-0.125333
4.54,-0.187381
4.55,-0.24869
4.56,-0.309017
4.57,-0.368125
4.58,-0.425779
4.59,-0.481754
4.6,-0.535827
4.61,-0.587785
4.62,-0.637424
4.63,-0.684547
4.64,-0.728969
4.65,-0.770513
4.66,-0.809017
4.67,-0.844328
4.68,-0.876307
4.69,-0.904827
4.7,-0.929776
4.71,-0.951057
4.72,-0.968583
4.73,-0.982287
4.74,-0.992115
4.75,-0.998027
4.76,-1
4.77,-0.998027
4.78,-0.992115
4.79,-0.982287
4.8,-0.968583
4.81,-0.951057
4.82,-0.929776
4.83,-0.904827
4.84,-0.876307
4.85,-0.844328
4.86,-0.809017
4.87,-0.770513
4.88,-0.728969
4.89,-0.684547
4.9,-0.637424
4.91,-0.587785
4.92,-0.535827
4.93,-0.481754
4.94,-0.425779
4.95,-0.368125
4.96,-0.309017
4.97,-0.24869
4.98,-0.187381
4.99,-0.125333
5,-0.0627905
5.01,-3.92023e-13
