time,Setpoint,Plant__PI_,Plant__PD_,PI_Controller,PD_Controller
1.68,1,0.467324,0.985381,1.06667,2.08189
1.69,1,0.468625,0.977486,1.06402,1.85066
1.7,1,0.469874,0.984897,1.06147,2.0677
1.71,1,0.471073,0.97794,1.05902,1.86398
1.72,1,0.472225,0.98447,1.05667,2.0552
1.73,1,0.47333,0.978341,1.05442,1.87572
1.74,1,0.474392,0.984094,1.05225,2.04419
1.75,1,0.475411,0.978694,1.05017,1.88605
1.76,1,0.47639,0.983762,1.04817,2.03448
1.77,1,0.47733,0.979005,1.04626,1.89516
1.78,1,0.478232,0.98347,1.04441,2.02593
1.79,1,0.479099,0.979279,1.04265,1.90319
1.8,1,0.479931,0.983213,1.04095,2.0184
1.81,1,0.48073,0.979521,1.03932,1.91026
1.82,1,0.481497,0.982987,1.03775,2.01176
1.83,1,0.482233,0.979733,1.03625,1.91649
1.84,1,0.482941,0.982787,1.03481,2.00592
1.85,1,0.48362,0.979921,1.03342,1.92197
1.86,1,0.484272,0.982611,1.03209,2.00077
1.87,1,0.484898,0.980086,1.03081,1.92681
1.88,1,0.485499,0.982456,1.02959,1.99623
1.89,1,0.486076,0.980231,1.02841,1.93107
1.9,1,0.486631,0.98232,1.02728,1.99223
1.91,1,0.487163,0.980359,1.02619,1.93482
1.92,1,0.487674,0.982199,1.02515,1.98871
1.93,1,0.488164,0.980472,1.02415,1.93813
1.94,1,0.488636,0.982093,1.02319,1.9856
1.95,1,0.489088,0.980572,1.02226,1.94104
1.96,1,0.489522,0.982,1.02138,1.98287
1.97,1,0.489939,0.980659,1.02053,1.94361
1.98,1,0.49034,0.981918,1.01971,1.98046
1.99,1,0.490724,0.980737,1.01893,1.94587
2,1,0.491094,0.981845,1.01817,1.97834
2.01,1,0.491448,0.980805,1.01745,1.94786
2.02,1,0.491789,0.981781,1.01675,1.97647
2.03,1,0.492115,0.980865,1.01609,1.94962
2.04,1,0.492429,0.981725,1.01545,1.97482
2.05,1,0.492731,0.980917,1.01483,1.95116
2.06,1,0.49302,0.981675,1.01424,1.97337
2.07,1,0.493298,0.980964,1.01367,1.95253
2.08,1,0.493565,0.981632,1.01313,1.97209
2.09,1,0.493821,0.981005,1.01261,1.95373
2.1,1,0.494067,0.981593,1.01211,1.97096
2.11,1,0.494303,0.981041,1.01162,1.95478
2.12,1,0.49453,0.981559,1.01116,1.96997
2.13,1,0.494748,0.981073,1.01072,1.95572
2.14,1,0.494957,0.98153,1.01029,1.96909
2.15,1,0.495157,0.981101,1.00988,1.95654
2.16,1,0.49535,0.981503,1.00949,1.96832
2.17,1,0.495535,0.981126,1.00911,1.95726
2.18,1,0.495713,0.98148,1.00875,1.96764
2.19,1,0.495884,0.981147,1.0084,1.9579
2.2,1,0.496048,0.98146,1.00806,1.96705
2.21,1,0.496205,0.981166,1.00774,1.95846
2.22,1,0.496356,0.981442,1.00744,1.96652
2.23,1,0.496501,0.981183,1.00714,1.95895
2.24,1,0.49664,0.981426,1.00686,1.96606
2.25,1,0.496774,0.981198,1.00658,1.95939
2.26,1,0.496902,0.981412,1.00632,1.96565
2.27,1,0.497026,0.981211,1.00607,1.95977
2.28,1,0.497144,0.9814,1.00583,1.96529
2.29,1,0.497258,0.981223,1.0056,1.96011
2.3,1,0.497367,0.981389,1.00537,1.96497
2.31,1,0.497472,0.981233,1.00516,1.96041
2.32,1,0.497572,0.981379,1.00495,1.96469
2.33,1,0.497669,0.981242,1.00476,1.96067
2.34,1,0.497762,0.981371,1.00457,1.96444
2.35,1,0.497851,0.98125,1.00438,1.9609
2.36,1,0.497936,0.981363,1.00421,1.96422
2.37,1,0.498019,0.981257,1.00404,1.96111
2.38,1,0.498097,0.981357,1.00388,1.96403
2.39,1,0.498173,0.981263,1.00373,1.96129
2.4,1,0.498246,0.981351,1.00358,1.96387
2.41,1,0.498316,0.981268,1.00344,1.96145
2.42,1,0.498383,0.981346,1.0033,1.96372
2.43,1,0.498447,0.981273,1.00317,1.96158
2.44,1,0.498509,0.981341,1.00304,1.96359
2.45,1,0.498568,0.981277,1.00292,1.96171
2.46,1,0.498625,0.981338,1.0028,1.96347
2.47,1,0.49868,0.981281,1.00269,1.96182
2.48,1,0.498733,0.981334,1.00259,1.96337
2.49,1,0.498783,0.981284,1.00248,1.96191
2.5,1,0.498831,0.981331,1.00238,1.96328
2.51,1,0.498878,0.981287,1.00229,1.96199
2.52,1,0.498923,0.981328,1.0022,1.9632
2.53,1,0.498966,0.98129,1.00211,1.96207
2.54,1,0.499007,0.981326,1.00203,1.96313
2.55,1,0.499046,0.981292,1.00195,1.96213
2.56,1,0.499084,0.981324,1.00187,1.96307
2.57,1,0.499121,0.981294,1.00179,1.96219
2.58,1,0.499156,0.981322,1.00172,1.96302
2.59,1,0.499189,0.981296,1.00165,1.96224
2.6,1,0.499222,0.98132,1.00159,1.96297
2.61,1,0.499253,0.981297,1.00153,1.96229
2.62,1,0.499282,0.981319,1.00146,1.96293
2.63,1,0.499311,0.981298,1.00141,1.96233
2.64,1,0.499338,0.981318,1.00135,1.96289
2.65,1,0.499365,0.9813,1.0013,1.96236
2.66,1,0.49939,0.981317,1.00124,1.96286
2.67,1,0.499414,0.981301,1.0012,1.96239
2.68,1,0.499438,0.981316,1.00115,1.96283
2.69,1,0.49946,0.981302,1.0011,1.96242
2.7,1,0.499481,0.981315,1.00106,1.9628
2.71,1,0.499502,0.981302,1.00102,1.96244
2.72,1,0.499522,0.981314,1.00098,1.96278
2.73,1,0.499541,0.981303,1.00094,1.96246
2.74,1,0.499559,0.981313,1.0009,1.96276
2.75,1,0.499577,0.981304,1.00086,1.96248
2.76,1,0.499594,0.981313,1.00083,1.96274
2.77,1,0.49961,0.981304,1.0008,1.9625
2.78,1,0.499625,0.981312,1.00076,1.96273
2.79,1,0.49964,0.981305,1.00073,1.96251
2.8,1,0.499655,0.981312,1.0007,1.96272
2.81,1,0.499668,0.981305,1.00068,1.96252
2.82,1,0.499682,0.981311,1.00065,1.9627
2.83,1,0.499694,0.981306,1.00062,1.96253
2.84,1,0.499706,0.981311,1.0006,1.96269
2.85,1,0.499718,0.981306,1.00058,1.96254
2.86,1,0.499729,0.981311,1.00055,1.96268
2.87,1,0.49974,0.981306,1.00053,1.96255
2.88,1,0.49975,0.98131,1.00051,1.96268
2.89,1,0.49976,0.981306,1.00049,1.96256
2.9,1,0.49977,0.98131,1.00047,1.96267
2.91,1,0.499779,0.981307,1.00045,1.96257
2.92,1,0.499788,0.98131,1.00043,1.96266
2.93,1,0.499796,0.981307,1.00042,1.96257
2.94,1,0.499804,0.98131,1.0004,1.96266
2.95,1,0.499812,0.981307,1.00038,1.96258
2.96,1,0.49982,0.98131,1.00037,1.96265
2.97,1,0.499827,0.981307,1.00035,1.96258
2.98,1,0.499834,0.981309,1.00034,1.96265
2.99,1,0.49984,0.981307,1.00033,1.96259
3,1,0.499847,0.981309,1.00031,1.96264
3.01,1,0.499853,0.981308,1.0003,1.96259
3.02,1,0.499859,0.981309,1.00029,1.96264
3.03,1,0.499864,0.981308,1.00028,1.96259
3.04,1,0.49987,0.981309,1.00027,1.96264
3.05,1,0.499875,0.981308,1.00026,1.9626
3.06,1,0.49988,0.981309,1.00025,1.96264
3.07,1,0.499885,0.981308,1.00024,1.9626
3.08,1,0.499889,0.981309,1.00023,1.96263
3.09,1,0.499894,0.981308,1.00022,1.9626
3.1,1,0.499898,0.981309,1.00021,1.96263
3.11,1,0.499902,0.981308,1.0002,1.9626
3.12,1,0.499906,0.981309,1.00019,1.96263
3.13,1,0.49991,0.981308,1.00018,1.9626
3.14,1,0.499913,0.981309,1.00018,1.96263
3.15,1,0.499917,0.981308,1.00017,1.96261
3.16,1,0.49992,0.981309,1.00016,1.96263
3.17,1,0.499923,0.981308,1.00016,1.96261
3.18,1,0.499926,0.981309,1.00015,1.96263
3.19,1,0.499929,0.981308,1.00014,1.96261
3.2,1,0.499932,0.981309,1.00014,1.96262
3.21,1,0.499935,0.981308,1.00013,1.96261
3.22,1,0.499937,0.981309,1.00013,1.96262
3.23,1,0.49994,0.981308,1.00012,1.96261
3.24,1,0.499942,0.981309,1.00012,1.96262
3.25,1,0.499944,0.981308,1.00011,1.96261
3.26,1,0.499947,0.981309,1.00011,1.96262
3.27,1,0.499949,0.981308,1.0001,1.96261
3.28,1,0.499951,0.981309,1.0001,1.96262
3.29,1,0.499953,0.981308,1.0001,1.96261
3.3,1,0.499955,0.981309,1.00009,1.96262
3.31,1,0.499956,0.981308,1.00009,1.96261
3.32,1,0.499958,0.981309,1.00009,1.96262
3.33,1,0.49996,0.981308,1.00008,1.96261
3.34,1,0.499961,0.981309,1.00008,1.96262
3.35,1,0.499963,0.981308,1.00008,1.96261
3.36,1,0.499964,0.981309,1.00007,1.96262
3.37,1,0.499966,0.981308,1.00007,1.96261
3.38,1,0.499967,0.981308,1.00007,1.96262
3.39,1,0.499969,0.981308,1.00006,1.96261
3.4,1,0.49997,0.981308,1.00006,1.96262
3.41,1,0.499971,0.981308,1.00006,1.96261
3.42,1,0.499972,0.981308,1.00006,1.96262
3.43,1,0.499973,0.981308,1.00005,1.96261
3.44,1,0.499974,0.981308,1.00005,1.96262
3.45,1,0.499975,0.981308,1.00005,1.96262
3.46,1,0.499976,0.981308,1.00005,1.96262
3.47,1,0.499977,0.981308,1.00005,1.96262
3.48,1,0.499978,0.981308,1.00004,1.96262
3.49,1,0.499979,0.981308,1.00004,1.96262
3.5,1,0.49998,0.981308,1.00004,1.96262
3.51,1,0.499981,0.981308,1.00004,1.96262
3.52,1,0.499981,0.981308,1.00004,1.96262
3.53,1,0.499982,0.981308,1.00004,1.96262
3.54,1,0.499983,0.981308,1.00003,1.96262
3.55,1,0.499984,0.981308,1.00003,1.96262
3.56,1,0.499984,0.981308,1.00003,1.96262
3.57,1,0.499985,0.981308,1.00003,1.96262
3.58,1,0.499985,0.981308,1.00003,1.96262
3.59,1,0.499986,0.981308,1.00003,1.96262
3.6,1,0.499987,0.981308,1.00003,1.96262
3.61,1,0.499987,0.981308,1.00003,1.96262
3.62,1,0.499988,0.981308,1.00003,1.96262
3.63,1,0.499988,0.981308,1.00002,1.96262
3.64,1,0.499989,0.981308,1.00002,1.96262
3.65,1,0.499989,0.981308,1.00002,1.96262
3.66,1,0.499989,0.981308,1.00002,1.96262
3.67,1,0.49999,0.981308,1.00002,1.96262
3.68,1,0.49999,0.981308,1.00002,1.96262
3.69,1,0.499991,0.981308,1.00002,1.96262
3.7,1,0.499991,0.981308,1.00002,1.96262
3.71,1,0.499991,0.981308,1.00002,1.96262
3.72,1,0.499992,0.981308,1.00002,1.96262
3.73,1,0.499992,0.981308,1.00002,1.96262
3.74,1,0.499992,0.981308,1.00002,1.96262
3.75,1,0.499993,0.981308,1.00001,1.96262
3.76,1,0.499993,0.981308,1.00001,1.96262
3.77,1,0.499993,0.981308,1.00001,1.96262
3.78,1,0.499994,0.981308,1.00001,1.96262
3.79,1,0.499994,0.981308,1.00001,1.96262
